query_id,answer
1,4396 4308 4234 4328 1899 1918 1901 1909 4362 4435
2,2865 3209 2802 4387 4400 4308 1966 2408 4219 4403
3,4328 1909 4396 3419 4219 4234 4516 4517 4308 4387
4,4400 2865 4532 4219 2646 4361 2866 4234 1966 1951
5,1951 4234 3467 4214 4219 4321 4366 2698 4320 4436
6,4309 3016 3750 2214 3735 3169 4254 4324 1954 4377
7,2865 4387 4234 4219 1966 4361 4403 2646 4384 4400
8,1951 4234 4219 4308 4400 4286 4328 4361 4321 4387
9,4451 4290 4209 4445 3314 4214 4366 4447 3995 4460
10,4219 4400 2646 4403 4234 4384 4408 1966 2831 4407
11,4219 4400 2646 2865 2866 1966 4387 4384 4234 4403
12,4400 2865 4384 4308 4219 4234 4408 1966 4361 2646
13,4219 4440 4389 4384 2865 4387 2646 4234 4400 1966
14,2962 4276 3595 4269 4440 4371 3779 4266 4375 4227
15,4361 4219 4384 4406 2646 3470 4313 4234 1966 3844
16,4440 4219 4389 2521 2646 4257 4387 4234 4285 4408
17,1951 4328 3168 4286 1901 4234 4214 4308 4362 4387
18,4219 2646 4308 4234 4384 1909 4361 4400 2964 4396
19,1951 4234 4308 4320 4219 4384 2646 4214 3467 4460
20,2865 4400 4219 4308 1966 2646 2831 4361 4234 4387
21,2646 4219 4214 1951 4366 4361 4234 2698 4424 4395
22,4234 4445 4237 4341 4420 4362 4242 2154 3862 4243
23,4328 4286 4396 4234 4362 1951 4214 1901 1907 4308
24,4440 4389 2521 2646 4219 4384 4361 4257 1958 4408
25,4214 1951 4366 4219 2665 2698 4445 4220 4209 4424
26,4440 2646 3844 4219 4406 4389 2865 4384 1966 4313
27,2646 4219 4387 4440 4384 1966 3470 4389 2865 4400
28,4400 4234 4219 4308 4403 2646 4407 4387 4361 4384
29,4219 2646 4384 4400 2865 1966 4234 4308 4361 4406
30,1951 4320 4234 2646 4321 4214 4219 4286 4204 4367
31,4234 4219 4308 4361 4400 1909 4408 4387 1899 1907
32,4219 4384 4440 3127 4313 2646 4389 4312 2962 4453
33,2646 4219 4389 4440 4384 4400 2865 4408 1966 2521
34,2646 4219 2865 4384 4400 4389 1966 4440 3844 4308
35,4328 4286 4396 1907 4308 4234 1909 3436 1951 4219
36,4219 4387 2646 4384 4400 4308 4234 4504 1966 2865
37,1966 2646 4219 2865 4384 4308 4387 4400 4234 4408
38,4440 2646 4400 4219 3470 1966 4384 4403 4389 3078
39,1951 4328 4234 4286 4218 4214 3467 4219 4436 4308
40,2646 4361 4308 3127 4384 1909 4313 4219 4233 4234
41,4234 4384 2646 4362 4214 3467 4361 4219 4204 4308
42,2865 1966 4400 4219 4234 4308 4387 1958 4389 4384
43,4234 4328 4308 4362 4396 1909 1901 4387 1899 4219
44,4219 2646 4384 2865 1966 4400 4361 4406 4395 4308
45,4219 2646 2865 4384 4234 1966 4400 4387 4308 4389
46,2665 4214 2698 4328 4219 4408 4366 4358 4308 2408
47,4219 2646 1909 4384 4308 3470 4406 4234 1966 4313
48,2646 4219 4387 1966 4440 4389 3470 4384 2865 4308
49,1960 4408 4308 1909 4400 4219 2964 1899 4234 2408
50,1951 4328 3467 4286 4234 1899 1909 4361 4218 4214
51,4219 4214 2646 4395 4440 4389 4424 4384 4301 4387
52,4214 4219 2646 4424 4395 4234 2698 2665 4366 4290
53,4219 4361 2646 4440 4408 3127 2408 4389 4358 2511
54,4424 4214 4395 4331 4209 4520 4057 3992 4405 4227
55,1951 4234 4219 4286 3467 4361 4322 4214 4320 4010
